POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4929,-0.0,0.0,0.0,-53.39,8.42,-0.0,-0.0,0.0,-31.53,56.28,-44.97,24.74,-20.23
4930,-0.0,0.0,-0.0,-47.46,7.29,0.0,-0.0,0.0,-32.99,56.05,-40.16,23.06,-17.11
4931,-0.0,0.0,0.0,-51.83,6.04,-0.0,0.0,0.0,-31.83,57.1,-45.79,25.27,-20.52
4932,0.0,-0.0,-0.0,-52.55,7.82,0.0,0.0,0.0,-31.48,56.03,-44.74,24.55,-20.19
4933,0.0,0.0,0.0,-52.58,6.62,0.0,-0.0,0.0,-33.81,56.16,-45.96,22.35,-23.61
4934,0.0,-0.0,-0.0,-51.32,6.29,0.0,-0.0,0.0,-32.05,57.01,-45.03,24.96,-20.07
4935,0.0,0.0,-0.0,-48.66,8.18,0.0,0.0,0.0,-31.69,56.5,-40.47,24.81,-15.66
4936,0.0,-0.0,-0.0,-51.78,8.17,-0.0,0.0,0.0,-32.26,56.31,-43.61,24.04,-19.57
4937,-0.0,0.0,-0.0,-52.04,6.81,0.0,-0.0,0.0,-31.5,58.5,-45.24,27.0,-18.24
4938,0.0,0.0,-0.0,-51.63,6.74,0.0,-0.0,0.0,-33.87,55.08,-44.89,21.21,-23.69
4939,0.0,0.0,-0.0,-53.83,7.89,0.0,0.0,0.0,-32.08,56.69,-45.94,24.61,-21.33
4940,-0.0,0.0,0.0,-52.58,7.37,-0.0,0.0,0.0,-32.33,57.07,-45.21,24.75,-20.46
4941,-0.0,0.0,0.0,-52.62,7.38,-0.0,0.0,0.0,-32.96,58.23,-45.24,25.26,-19.98
4942,-0.0,-0.0,0.0,-52.8,7.07,-0.0,-0.0,0.0,-33.37,57.12,-45.74,23.75,-21.98
4943,-0.0,-0.0,0.0,-51.81,6.16,0.0,-0.0,0.0,-32.07,56.92,-45.65,24.85,-20.8
4944,0.0,-0.0,0.0,-50.1,6.77,-0.0,0.0,0.0,-31.69,58.03,-43.33,26.35,-16.99
4945,-0.0,0.0,-0.0,-51.95,6.62,0.0,0.0,0.0,-31.79,56.26,-45.33,24.47,-20.86
4946,-0.0,0.0,0.0,-52.28,7.82,-0.0,0.0,0.0,-32.32,57.34,-44.46,25.02,-19.44
4947,-0.0,0.0,0.0,-50.54,8.19,-0.0,0.0,0.0,-31.39,54.74,-42.35,23.35,-19.0
4948,0.0,-0.0,-0.0,-48.62,7.36,0.0,-0.0,0.0,-31.48,55.71,-41.26,24.24,-17.02
4949,-0.0,-0.0,0.0,-52.26,6.6,0.0,0.0,0.0,-32.5,57.05,-45.66,24.55,-21.11
4950,0.0,-0.0,-0.0,-52.22,6.76,0.0,-0.0,0.0,-31.98,57.25,-45.46,25.28,-20.19
4951,-0.0,-0.0,-0.0,-50.85,5.63,-0.0,0.0,0.0,-32.6,55.33,-45.22,22.73,-22.48
4952,0.0,-0.0,-0.0,-50.07,6.46,-0.0,-0.0,0.0,-32.78,55.0,-43.61,22.22,-21.38
4953,-0.0,-0.0,-0.0,-53.66,7.66,0.0,-0.0,0.0,-32.05,56.66,-46.0,24.61,-21.39
4954,-0.0,0.0,0.0,-51.47,6.49,-0.0,0.0,0.0,-33.45,57.34,-44.98,23.89,-21.09
4955,0.0,0.0,0.0,-51.77,6.79,0.0,0.0,0.0,-32.51,56.47,-44.98,23.97,-21.01
4956,0.0,-0.0,0.0,-52.68,7.08,-0.0,-0.0,0.0,-31.95,56.38,-45.6,24.43,-21.17
4957,-0.0,-0.0,0.0,-51.31,7.55,-0.0,-0.0,0.0,-32.83,56.45,-43.76,23.62,-20.14
4958,-0.0,-0.0,0.0,-51.96,6.78,-0.0,-0.0,0.0,-31.21,57.04,-45.18,25.83,-19.35
4959,0.0,0.0,0.0,-52.37,6.4,0.0,0.0,0.0,-31.16,56.16,-45.97,25.0,-20.97
4960,0.0,0.0,-0.0,-50.32,5.99,-0.0,0.0,0.0,-33.15,57.01,-44.33,23.85,-20.48
4961,-0.0,0.0,0.0,-51.91,5.53,-0.0,-0.0,0.0,-32.11,55.73,-46.38,23.62,-22.76
4962,-0.0,-0.0,-0.0,-53.94,5.73,-0.0,0.0,0.0,-31.98,56.91,-48.2,24.93,-23.27
4963,-0.0,0.0,0.0,-52.26,5.61,0.0,-0.0,0.0,-33.34,57.57,-46.65,24.22,-22.42
4964,0.0,-0.0,0.0,-52.94,5.75,0.0,0.0,0.0,-32.76,56.19,-47.19,23.43,-23.75
4965,-0.0,0.0,0.0,-51.41,5.91,0.0,-0.0,0.0,-32.73,57.76,-45.5,25.03,-20.47
4966,0.0,-0.0,-0.0,-53.92,6.14,0.0,0.0,0.0,-32.39,58.14,-47.77,25.75,-22.02
4967,0.0,-0.0,-0.0,-55.18,5.6,0.0,0.0,0.0,-32.26,55.68,-49.58,23.42,-26.16
4968,0.0,-0.0,0.0,-52.23,7.18,-0.0,0.0,0.0,-33.04,56.46,-45.05,23.43,-21.62
4969,-0.0,-0.0,-0.0,-51.92,7.11,-0.0,-0.0,0.0,-32.85,54.58,-44.82,21.73,-23.09
4970,-0.0,0.0,-0.0,-50.94,5.77,0.0,-0.0,0.0,-31.91,57.07,-45.16,25.16,-20.0
4971,0.0,-0.0,0.0,-49.71,7.65,0.0,-0.0,0.0,-32.48,55.52,-42.06,23.03,-19.03
4972,-0.0,0.0,-0.0,-49.41,6.65,-0.0,-0.0,0.0,-32.28,56.67,-42.77,24.4,-18.37
4973,0.0,-0.0,0.0,-51.13,7.61,-0.0,0.0,0.0,-32.16,56.13,-43.52,23.97,-19.55
4974,0.0,-0.0,0.0,-50.42,4.81,-0.0,0.0,0.0,-31.56,56.34,-45.6,24.78,-20.82
4975,0.0,0.0,0.0,-50.51,8.6,0.0,0.0,0.0,-32.01,57.8,-41.92,25.79,-16.13
4976,0.0,-0.0,-0.0,-51.96,6.69,-0.0,-0.0,0.0,-32.32,56.23,-45.27,23.91,-21.36
4977,-0.0,-0.0,0.0,-49.95,7.87,0.0,-0.0,0.0,-30.4,56.16,-42.08,25.76,-16.32
4978,0.0,0.0,-0.0,-49.45,8.03,-0.0,-0.0,0.0,-31.78,56.11,-41.42,24.33,-17.1
4979,0.0,0.0,-0.0,-49.06,7.73,-0.0,-0.0,0.0,-31.12,56.99,-41.33,25.87,-15.47
4980,-0.0,0.0,-0.0,-46.96,6.39,-0.0,0.0,0.0,-31.49,55.46,-40.57,23.97,-16.61
4981,0.0,0.0,0.0,-48.64,7.92,0.0,-0.0,0.0,-30.85,55.43,-40.72,24.57,-16.15
4982,0.0,0.0,0.0,-50.0,6.3,-0.0,-0.0,0.0,-31.74,55.44,-43.7,23.71,-19.99
4983,0.0,-0.0,0.0,-49.08,6.93,-0.0,0.0,0.0,-31.23,56.69,-42.15,25.46,-16.69
4984,-0.0,-0.0,-0.0,-51.12,6.72,-0.0,0.0,0.0,-31.33,56.61,-44.4,25.28,-19.12
4985,-0.0,-0.0,-0.0,-43.06,8.82,-0.0,0.0,0.0,-31.53,56.22,-34.24,24.69,-9.55
4986,0.0,-0.0,-0.0,-51.48,6.85,-0.0,0.0,0.0,-31.99,56.41,-44.63,24.43,-20.21
4987,-0.0,0.0,0.0,-46.42,6.0,-0.0,-0.0,0.0,-31.85,55.87,-40.42,24.02,-16.4
4988,0.0,0.0,0.0,-50.43,6.07,-0.0,-0.0,0.0,-31.64,55.41,-44.36,23.78,-20.58
4989,-0.0,-0.0,-0.0,-51.62,7.53,0.0,-0.0,0.0,-32.63,55.55,-44.1,22.92,-21.18
4990,-0.0,0.0,0.0,-49.82,8.77,0.0,0.0,0.0,-31.86,56.83,-41.05,24.96,-16.08
4991,0.0,-0.0,-0.0,-49.1,7.07,0.0,-0.0,0.0,-31.75,55.26,-42.03,23.51,-18.53
4992,-0.0,0.0,-0.0,-47.24,7.32,-0.0,0.0,0.0,-31.35,55.68,-39.92,24.33,-15.59
4993,0.0,0.0,0.0,-51.23,5.45,-0.0,-0.0,0.0,-32.13,55.92,-45.78,23.79,-21.98
4994,-0.0,0.0,0.0,-52.18,6.76,0.0,-0.0,0.0,-32.25,57.21,-45.42,24.96,-20.46
4995,0.0,-0.0,0.0,-50.96,5.79,-0.0,0.0,0.0,-31.38,56.22,-45.17,24.85,-20.33
4996,0.0,0.0,-0.0,-50.53,7.0,0.0,0.0,0.0,-32.45,55.7,-43.53,23.25,-20.28
4997,0.0,-0.0,-0.0,-53.69,6.67,0.0,0.0,0.0,-33.16,56.39,-47.01,23.23,-23.79
4998,-0.0,0.0,0.0,-51.15,8.98,-0.0,-0.0,0.0,-30.7,57.84,-42.17,27.15,-15.02
4999,-0.0,-0.0,-0.0,-49.13,6.85,-0.0,0.0,0.0,-30.99,55.42,-42.28,24.43,-17.85
5000,-0.0,-0.0,-0.0,-49.14,7.01,-0.0,0.0,0.0,-32.19,57.38,-42.14,25.19,-16.95


