1	0
2	1.057
3	1.021
4	1.041
5	1.206
6	1.662
7	1.676
8	1.552
9	2.197
10	2.21
11	1.704
12	1.779
13	2.135
14	1.593
15	2.241
16	2.347
17	1.995
18	1.808
19	1.433
20	1.384
21	1.424
22	1.919
23	1.643
24	1.75
25	1.49
26	2.448
27	2.474
28	2.579
29	2.567
30	2.438
31	2.404
32	2.173
33	2.186
34	2.35
35	2.437
36	2.081
37	1.954
38	2.452
39	1.792
40	1.946
41	1.739
42	1.88
43	1.774
44	2.36
45	2.166
46	2.469
47	1.84
48	1.661
49	1.89
50	1.828
51	1.704
52	1.541
53	1.425
54	1.324
55	1.452
56	1.321
57	1.821
58	1.704
59	1.794
60	1.202
61	1.604
62	1.431
63	1.308
64	1.576
65	1.599
66	1.585
67	1.667
68	1.465
69	1.673
70	1.428
71	1.631
72	1.524
73	1.621
74	1.573
75	1.717
76	2.075
77	1.422
78	1.699
79	1.915
80	1.706
81	1.658
82	1.818
83	1.785
84	1.864
85	2.192
86	2.218
87	2.433
88	2.125
89	1.862
90	2.084
91	1.827
92	1.989
93	2.009
94	1.687
95	1.379
96	1.452
97	1.741
98	1.904
99	2.251
100	1.782
101	2.209
102	1.439
103	1.484
104	1.55
105	1.89
106	1.984
107	1.737
108	1.668
109	1.596
110	1.853
111	1.554
112	2.13
113	1.98
114	2.249
115	2.03
116	2.551
117	2.397
118	2.366
119	2.505
120	3.309
121	2.988
122	2.32
123	2.792
124	2.58
125	2.626
126	1.847
127	1.866
128	2.041
129	2.027
130	2.126
131	2.569
132	2.234
133	1.956
134	1.867
135	1.939
136	1.938
137	2.272
138	2.117
139	2.129
140	2.348
141	2.178
142	1.654
143	2.23
144	1.922
145	2.507
146	2.124
147	1.997
148	2.297
149	2.553
150	2.385
151	2.244
152	2.257
153	2.324
154	2.752
155	2.031
156	2.402
157	2.759
158	2.235
159	2.571
160	2.988
161	2.434
162	2.37
163	2.041
164	2.093
165	2.344
166	2.806
167	2.009
168	2.335
169	2.673
170	2.646
171	2.676
172	2.497
173	2.252
174	2.409
175	2.052
176	2.177
177	1.754
178	1.71
179	1.764
180	2.402
181	2.272
182	2.519
183	2.375
184	2.322
185	1.996
186	1.666
187	2.592
188	2.715
189	2.429
190	1.986
191	1.974
192	2.404
193	2.033
194	2.169
195	1.975
196	2.122
197	2.495
