0		0.364458		0.255975		0.330371		0.301646
200		0.376288		 0.27429		0.331429		0.313218
400		0.361495			0.2713		 0.32036		0.291757
600		0.364296		0.269673		0.320058		0.300436
800		0.375968		0.258411		0.340443		0.316269
1000		0.359478		0.272101		0.304468		0.302837
1200		 0.37261		0.276999		0.324153		0.309634
1400		 0.36387		0.276803		0.311908		0.301491
1600		0.365009		0.278698		0.323321		0.290265
1800		 0.35638		0.278094		0.312676		0.280911
2000		 0.36617		0.269794		0.324545		 0.30007
2200		0.367817		0.268382		0.329225		0.300268
2400		0.356285		0.269777		0.310268		 0.29126
2600		0.357488		0.259411		0.314071		0.299434
2800		0.357206		0.266293		 0.31423		0.292474
3000		 0.35469		0.271256		0.307676		 0.28873
3200		0.353548		0.268261		0.307973		0.288411
3400		0.353156		0.276818		0.309019		0.278061
3600		 0.36088		 0.27545		0.321775		0.284704
3800		0.367687		0.269486		0.326649		0.301771
4000		0.353831		0.261691		 0.31621		0.286218
4200		0.357972		0.272189		0.320741		0.281649
4400		0.352161		0.272209		0.320929		0.266349
4600		0.374277		0.282854		0.334339		0.297285
4800		0.349193		0.268705		0.311342		0.273378
5000		0.355312		0.269262		0.320788		0.277643
5200		0.363165		0.274554		 0.32851		 0.28369
5400		0.363853		0.271506		0.332344		0.283919
5600		0.353078		0.273944		 0.31726		0.271347
5800		0.360006		0.275783		0.314525		0.290217
6000		0.368566		0.269447		0.325773		0.304879
6200		0.354876		0.269773		0.311396		0.286581
6400		0.362728		0.263009			0.3244		0.297882
6600		0.353346		0.268868		0.313535		0.281269
6800		0.360422		0.281084		0.307202		0.293984
7000		0.355225		0.272972		0.311485		0.284311
7200		0.355836		0.272335		0.312427		0.285416
7400		0.353271		0.274257		0.316307		0.272641
7600		0.351266		0.263773		0.312923		0.281565
7800			0.3583		0.272704		0.320775		0.281947
8000		0.351676		0.271184		0.310426		0.278294
8200		 0.35159		0.274281		0.309926		0.275584
8400		0.357078		0.273606		0.323898		0.274298
8600		0.363778		0.281141			0.3239		0.284107
8800		0.363622		0.281178		0.322182		0.285621
9000		0.360165		0.279713		0.313634		0.287805
9200		0.355368		0.281258		0.309815		0.278354
9400		0.355605		0.271348		0.310335		0.288048
9600		0.362375		0.267511		0.315887		0.302132
9800		0.362595		0.275016		0.315701		0.296056
10000		0.358769		0.276581		0.308335		0.293024
10200		0.356032		0.277464		0.317128		 0.27561
10400		0.353953		0.278102		0.313013		0.274312
10600		0.358185		0.270566		0.313216		0.292033
10800		0.359054		 0.27066		0.317486		0.289458
11000		0.359984		0.273867		0.312509		 0.29413
11200		0.362722		0.276504		0.311009		0.299922
11400		0.373584		 0.28268		0.331211		0.299201
11600		0.352798		0.278863		0.304992		0.279548
11800		0.359184		0.273592		0.320756		0.283355
12000		0.356842		0.270069		0.317202		0.284811
12200		0.362642		0.275896		0.312366		0.298877
12400		0.360081		0.273022		0.318064		0.289157
12600		0.361694		0.274595		0.316446		0.293435
12800		0.377885		0.263237		0.338485		 0.31895
13000		0.365354		0.270612		0.320457		0.301736
13200		0.356419			0.2692		0.311357		0.290958
13400		0.366033		0.282394		0.328077		0.283866
13600		0.374637		0.272626		0.336098		0.305645
13800		0.366629		0.281311		0.319724		 0.29576
14000		0.365065		0.277478		0.320014		0.295199
14200		0.354445		0.275978		0.305907		0.285515
14400		0.380025		0.289968		0.319851		 0.32008
14600		0.356665		0.276423		0.302426		0.294191
14800		0.368914		0.286898		0.306177		0.310066
15000		0.367772		0.277669		0.319411		0.302306
15200		0.368932		0.281462		0.302378		0.318698
15400		0.363028		0.282444		 0.31661		0.289072
15600		0.355595		0.267054		0.316076		0.285786
15800		0.373575		 0.27743		0.323674		0.312066
16000		0.372483		0.279475		0.333531		 0.29688
16200		0.373366		0.284931		0.317911		0.310727
16400		0.371428		0.280272		0.309944		0.318275
16600		0.358888		0.276184		0.315745		0.285707
16800		0.370228		0.290237		0.320464		0.295302
17000		0.373593		0.284424		0.325695		0.303593
17200			0.3771		0.262061		0.340127		0.316302
17400		0.371193		0.289621		0.332268		0.285106
17600		0.369499		0.283833		0.316341		0.304017
17800		0.369547		0.289698		0.320326		0.294272
18000		 0.37153		0.274651		0.335588		0.296675
18200		0.372741		0.279363		0.322329		0.309728
18400		0.362567		0.278481		0.311193		0.297518
18600		0.375673		0.280272		0.331548		0.306241
18800		 0.36594		 0.28779		0.313789		0.294173
19000		0.366679		0.281626		0.314691		0.300936
19200		0.366568		0.281995		0.324965		0.289174
19400		0.380207		 0.27926		0.322697		0.327101
19600		0.370771		0.300258		0.317846		0.289417
19800		0.372745		0.287449		 0.32324		0.301274
20000		0.374411		0.293882		0.316761		0.306044
20200		0.364204		0.283785		0.318473		0.288669
20400		0.371785		0.279859			0.3243		0.304888
20600		0.369101		0.285541		0.315178		0.302657
20800		0.386856		0.277272		0.345386		0.321161
21000		0.363908		 0.27808		0.317149		0.294865
21200		0.366763		0.280662		0.326439		0.289304
21400		0.366865		0.285506		0.315809		0.296532
21600		0.370411		 0.29185		0.311608		0.303534
21800		0.370176		 0.28455		 0.31866		0.302569
22000		0.372519		0.306227		0.306726		0.299474
22200		0.363988		0.281712		0.312632		0.296437
