time,value,system,replica,metric
17.8,3.605924,M1-CN045,replica1,Drug - Asp105 minimum distance
18.0,3.804116,M1-CN045,replica1,Drug - Asp105 minimum distance
18.2,4.6395669999999996,M1-CN045,replica1,Drug - Asp105 minimum distance
18.4,3.119712,M1-CN045,replica1,Drug - Asp105 minimum distance
18.6,3.72458,M1-CN045,replica1,Drug - Asp105 minimum distance
18.8,3.696093,M1-CN045,replica1,Drug - Asp105 minimum distance
19.0,4.2046410000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
19.2,4.786848,M1-CN045,replica1,Drug - Asp105 minimum distance
19.4,4.041792,M1-CN045,replica1,Drug - Asp105 minimum distance
19.6,4.52691,M1-CN045,replica1,Drug - Asp105 minimum distance
19.8,4.277767,M1-CN045,replica1,Drug - Asp105 minimum distance
20.0,4.53795,M1-CN045,replica1,Drug - Asp105 minimum distance
20.2,4.2124369999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
20.4,4.440835,M1-CN045,replica1,Drug - Asp105 minimum distance
20.6,4.959415,M1-CN045,replica1,Drug - Asp105 minimum distance
20.8,3.808531,M1-CN045,replica1,Drug - Asp105 minimum distance
21.0,3.6155779999999997,M1-CN045,replica1,Drug - Asp105 minimum distance
21.2,3.314045,M1-CN045,replica1,Drug - Asp105 minimum distance
21.4,3.9195029999999997,M1-CN045,replica1,Drug - Asp105 minimum distance
21.6,3.4617459999999998,M1-CN045,replica1,Drug - Asp105 minimum distance
21.8,4.9919649999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
22.0,4.038985,M1-CN045,replica1,Drug - Asp105 minimum distance
22.2,4.0877360000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
22.4,4.164924,M1-CN045,replica1,Drug - Asp105 minimum distance
22.6,4.6204849999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
22.8,3.716893,M1-CN045,replica1,Drug - Asp105 minimum distance
23.0,3.821113,M1-CN045,replica1,Drug - Asp105 minimum distance
23.2,4.055456,M1-CN045,replica1,Drug - Asp105 minimum distance
23.4,5.129376,M1-CN045,replica1,Drug - Asp105 minimum distance
23.6,4.759812,M1-CN045,replica1,Drug - Asp105 minimum distance
23.8,4.467349,M1-CN045,replica1,Drug - Asp105 minimum distance
24.0,4.443129,M1-CN045,replica1,Drug - Asp105 minimum distance
24.2,3.757567,M1-CN045,replica1,Drug - Asp105 minimum distance
24.4,4.851435,M1-CN045,replica1,Drug - Asp105 minimum distance
24.6,4.990932,M1-CN045,replica1,Drug - Asp105 minimum distance
24.8,4.888488000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
25.0,4.977963,M1-CN045,replica1,Drug - Asp105 minimum distance
25.2,4.577489,M1-CN045,replica1,Drug - Asp105 minimum distance
25.4,3.844542,M1-CN045,replica1,Drug - Asp105 minimum distance
25.6,4.47084,M1-CN045,replica1,Drug - Asp105 minimum distance
25.8,4.380287,M1-CN045,replica1,Drug - Asp105 minimum distance
26.0,4.117305,M1-CN045,replica1,Drug - Asp105 minimum distance
26.2,4.099317,M1-CN045,replica1,Drug - Asp105 minimum distance
26.4,4.426084,M1-CN045,replica1,Drug - Asp105 minimum distance
26.6,5.902018,M1-CN045,replica1,Drug - Asp105 minimum distance
26.8,4.566112,M1-CN045,replica1,Drug - Asp105 minimum distance
27.0,4.257978,M1-CN045,replica1,Drug - Asp105 minimum distance
27.2,4.683343,M1-CN045,replica1,Drug - Asp105 minimum distance
27.4,3.935304,M1-CN045,replica1,Drug - Asp105 minimum distance
27.6,4.869875,M1-CN045,replica1,Drug - Asp105 minimum distance
27.8,4.84663,M1-CN045,replica1,Drug - Asp105 minimum distance
28.0,5.157337,M1-CN045,replica1,Drug - Asp105 minimum distance
28.2,3.993696,M1-CN045,replica1,Drug - Asp105 minimum distance
28.4,4.986955,M1-CN045,replica1,Drug - Asp105 minimum distance
28.6,4.690757,M1-CN045,replica1,Drug - Asp105 minimum distance
28.8,4.753484,M1-CN045,replica1,Drug - Asp105 minimum distance
29.0,4.368005,M1-CN045,replica1,Drug - Asp105 minimum distance
29.2,3.8121519999999998,M1-CN045,replica1,Drug - Asp105 minimum distance
29.4,4.219539,M1-CN045,replica1,Drug - Asp105 minimum distance
29.6,4.399976,M1-CN045,replica1,Drug - Asp105 minimum distance
29.8,3.867517,M1-CN045,replica1,Drug - Asp105 minimum distance
30.0,3.4596080000000002,M1-CN045,replica1,Drug - Asp105 minimum distance
30.2,4.614898,M1-CN045,replica1,Drug - Asp105 minimum distance
30.4,3.687779,M1-CN045,replica1,Drug - Asp105 minimum distance
30.6,3.649301,M1-CN045,replica1,Drug - Asp105 minimum distance
30.8,3.242559,M1-CN045,replica1,Drug - Asp105 minimum distance
31.0,4.263494,M1-CN045,replica1,Drug - Asp105 minimum distance
31.2,4.101231,M1-CN045,replica1,Drug - Asp105 minimum distance
31.4,3.992656,M1-CN045,replica1,Drug - Asp105 minimum distance
31.6,4.190633999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
31.8,4.224798,M1-CN045,replica1,Drug - Asp105 minimum distance
32.0,2.975668,M1-CN045,replica1,Drug - Asp105 minimum distance
32.2,4.170732,M1-CN045,replica1,Drug - Asp105 minimum distance
32.4,4.097061,M1-CN045,replica1,Drug - Asp105 minimum distance
32.6,4.584953,M1-CN045,replica1,Drug - Asp105 minimum distance
32.8,4.23987,M1-CN045,replica1,Drug - Asp105 minimum distance
33.0,4.746124,M1-CN045,replica1,Drug - Asp105 minimum distance
33.2,4.091467,M1-CN045,replica1,Drug - Asp105 minimum distance
33.4,4.009154,M1-CN045,replica1,Drug - Asp105 minimum distance
33.6,4.408469,M1-CN045,replica1,Drug - Asp105 minimum distance
33.8,4.790791,M1-CN045,replica1,Drug - Asp105 minimum distance
34.0,4.498054,M1-CN045,replica1,Drug - Asp105 minimum distance
34.2,4.2323640000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
34.4,4.309674,M1-CN045,replica1,Drug - Asp105 minimum distance
34.6,5.076188,M1-CN045,replica1,Drug - Asp105 minimum distance
34.8,4.981584,M1-CN045,replica1,Drug - Asp105 minimum distance
35.0,4.365571,M1-CN045,replica1,Drug - Asp105 minimum distance
35.2,3.640193,M1-CN045,replica1,Drug - Asp105 minimum distance
35.4,4.561272,M1-CN045,replica1,Drug - Asp105 minimum distance
35.6,3.813487,M1-CN045,replica1,Drug - Asp105 minimum distance
35.8,4.168178,M1-CN045,replica1,Drug - Asp105 minimum distance
36.0,4.983464000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
36.2,4.212184,M1-CN045,replica1,Drug - Asp105 minimum distance
36.4,4.635351,M1-CN045,replica1,Drug - Asp105 minimum distance
36.6,4.213989,M1-CN045,replica1,Drug - Asp105 minimum distance
36.8,4.463459,M1-CN045,replica1,Drug - Asp105 minimum distance
37.0,4.216228,M1-CN045,replica1,Drug - Asp105 minimum distance
37.2,4.706634,M1-CN045,replica1,Drug - Asp105 minimum distance
37.4,3.581689,M1-CN045,replica1,Drug - Asp105 minimum distance
37.6,3.922833,M1-CN045,replica1,Drug - Asp105 minimum distance
37.8,3.758868,M1-CN045,replica1,Drug - Asp105 minimum distance
38.0,3.3082030000000002,M1-CN045,replica1,Drug - Asp105 minimum distance
38.2,4.338121,M1-CN045,replica1,Drug - Asp105 minimum distance
38.4,4.118554,M1-CN045,replica1,Drug - Asp105 minimum distance
38.6,4.60428,M1-CN045,replica1,Drug - Asp105 minimum distance
38.8,4.023456,M1-CN045,replica1,Drug - Asp105 minimum distance
39.0,3.8950750000000003,M1-CN045,replica1,Drug - Asp105 minimum distance
39.2,4.986251,M1-CN045,replica1,Drug - Asp105 minimum distance
39.4,4.090649,M1-CN045,replica1,Drug - Asp105 minimum distance
39.6,4.805184000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
39.8,5.182913999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
40.0,4.2279539999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
40.2,5.005207,M1-CN045,replica1,Drug - Asp105 minimum distance
40.4,6.5523810000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
40.6,5.562430000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
40.8,5.161006,M1-CN045,replica1,Drug - Asp105 minimum distance
41.0,4.352988,M1-CN045,replica1,Drug - Asp105 minimum distance
41.2,5.157081,M1-CN045,replica1,Drug - Asp105 minimum distance
41.4,4.684251,M1-CN045,replica1,Drug - Asp105 minimum distance
41.6,4.567743,M1-CN045,replica1,Drug - Asp105 minimum distance
41.8,5.176031,M1-CN045,replica1,Drug - Asp105 minimum distance
42.0,4.49432,M1-CN045,replica1,Drug - Asp105 minimum distance
42.2,3.6650929999999997,M1-CN045,replica1,Drug - Asp105 minimum distance
42.4,4.331719,M1-CN045,replica1,Drug - Asp105 minimum distance
42.6,4.946859,M1-CN045,replica1,Drug - Asp105 minimum distance
42.8,3.548577,M1-CN045,replica1,Drug - Asp105 minimum distance
43.0,4.571782,M1-CN045,replica1,Drug - Asp105 minimum distance
43.2,3.995297,M1-CN045,replica1,Drug - Asp105 minimum distance
43.4,4.965781,M1-CN045,replica1,Drug - Asp105 minimum distance
43.6,4.452685,M1-CN045,replica1,Drug - Asp105 minimum distance
43.8,4.531576,M1-CN045,replica1,Drug - Asp105 minimum distance
44.0,5.116912,M1-CN045,replica1,Drug - Asp105 minimum distance
44.2,4.536805,M1-CN045,replica1,Drug - Asp105 minimum distance
44.4,4.554144,M1-CN045,replica1,Drug - Asp105 minimum distance
44.6,4.90826,M1-CN045,replica1,Drug - Asp105 minimum distance
44.8,4.57727,M1-CN045,replica1,Drug - Asp105 minimum distance
45.0,3.92353,M1-CN045,replica1,Drug - Asp105 minimum distance
45.2,4.917125,M1-CN045,replica1,Drug - Asp105 minimum distance
45.4,5.120919000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
45.6,4.566246,M1-CN045,replica1,Drug - Asp105 minimum distance
45.8,4.661535,M1-CN045,replica1,Drug - Asp105 minimum distance
46.0,4.259777,M1-CN045,replica1,Drug - Asp105 minimum distance
46.2,4.449147,M1-CN045,replica1,Drug - Asp105 minimum distance
46.4,5.062498,M1-CN045,replica1,Drug - Asp105 minimum distance
46.6,4.495063999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
