system,time,mean,std,n,sem
M1-CN045,0.0,0.16666666666666666,0.2886751345948129,3,0.16666666666666669
M1-CN045,0.2,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,0.4,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,0.6,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,0.8,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,1.0,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,1.2,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,1.4,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,1.6,0.2222222222222222,0.19245008972987526,3,0.11111111111111112
M1-CN045,1.8,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,2.0,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,2.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,2.4,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,2.6,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,2.8,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,3.0,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,3.2,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,3.4,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,3.6,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,3.8,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,4.0,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,4.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,4.4,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,4.6,0.1111111111111111,0.19245008972987526,3,0.11111111111111112
M1-CN045,4.8,0.2222222222222222,0.19245008972987526,3,0.11111111111111112
M1-CN045,5.0,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,5.2,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,5.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,5.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,5.8,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,6.0,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,6.2,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,6.4,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,6.6,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,6.8,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,7.0,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,7.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,7.4,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,7.6,0.1111111111111111,0.19245008972987526,3,0.11111111111111112
M1-CN045,7.8,0.1111111111111111,0.19245008972987526,3,0.11111111111111112
M1-CN045,8.0,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,8.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,8.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,8.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,8.8,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,9.0,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,9.2,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,9.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,9.6,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,9.8,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,10.0,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,10.2,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,10.4,0.1111111111111111,0.19245008972987526,3,0.11111111111111112
M1-CN045,10.6,0.2222222222222222,0.19245008972987526,3,0.11111111111111112
M1-CN045,10.8,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,11.0,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,11.2,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,11.4,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,11.6,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,11.8,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,12.0,0.1111111111111111,0.19245008972987526,3,0.11111111111111112
M1-CN045,12.2,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,12.4,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,12.6,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,12.8,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,13.0,0.1111111111111111,0.19245008972987526,3,0.11111111111111112
M1-CN045,13.2,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,13.4,0.2222222222222222,0.19245008972987526,3,0.11111111111111112
M1-CN045,13.6,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,13.8,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,14.0,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,14.2,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,14.4,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,14.6,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,14.8,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,15.0,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,15.2,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,15.4,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,15.6,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,15.8,0.2222222222222222,0.19245008972987526,3,0.11111111111111112
M1-CN045,16.0,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,16.2,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,16.4,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,16.6,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,16.8,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,17.0,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,17.2,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,17.4,0.2222222222222222,0.19245008972987526,3,0.11111111111111112
M1-CN045,17.6,0.4444444444444444,0.3849001794597505,3,0.22222222222222224
M1-CN045,17.8,0.3333333333333333,0.3333333333333333,3,0.19245008972987526
M1-CN045,18.0,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,18.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,18.4,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,18.6,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,18.8,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,19.0,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,19.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,19.4,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,19.6,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,19.8,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,20.0,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,20.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,20.4,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,20.6,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,20.8,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,21.0,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,21.2,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,21.4,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,21.6,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,21.8,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,22.0,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,22.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,22.4,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,22.6,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,22.8,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,23.0,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,23.2,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,23.4,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,23.6,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,23.8,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,24.0,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,24.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,24.4,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,24.6,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,24.8,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,25.0,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,25.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,25.4,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,25.6,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,25.8,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,26.0,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,26.2,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,26.4,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,26.6,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,26.8,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,27.0,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,27.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,27.4,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,27.6,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,27.8,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,28.0,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,28.2,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,28.4,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,28.6,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,28.8,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
M1-CN045,29.0,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,29.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,29.4,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,29.6,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,29.8,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,30.0,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,30.2,0.5555555555555555,0.5091750772173156,3,0.2939723678960657
M1-CN045,30.4,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,30.6,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
M1-CN045,30.8,0.4444444444444444,0.5091750772173156,3,0.2939723678960657
