system,replica,distance_metric,dist_bin_center_A,occ_mean_in_bin,n_frames
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.25,0.9887640449438202,534
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.75,0.9851116625310173,403
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.25,0.9805996472663139,189
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.75,0.9912280701754387,76
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,13.25,1.0,22
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,13.75,0.9722222222222222,12
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,14.25,0.9487179487179487,13
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,14.75,1.0,5
M1-Clemastine,replica1,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,15.25,1.0,1
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.25,1.0,2
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.75,0.8333333333333334,42
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.4378762999452655,609
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.3605476673427992,1972
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.3055753262158956,1405
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.6999416228838294,571
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.8553921568627452,272
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.6159420289855073,92
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.3684210526315789,19
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.45454545454545453,11
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.0,1
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.75,0.0,2
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.25,0.0,2
M1-Clemastine,replica2,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,12.25,0.0,1
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,5.75,0.0,1
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.25,0.0,32
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,6.75,0.0004192872117400419,795
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.25,0.00145985401459854,2055
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,7.75,0.00042625745950554135,1564
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.25,0.0,404
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,8.75,0.0,73
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.25,0.0,35
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,9.75,0.0,26
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.25,0.0,6
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,10.75,0.0,4
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.25,0.0,5
M1-Clemastine,replica3,Arg³·⁵⁰(123)_Glu⁶·³⁰(360)_mean_dist,11.75,0.0,1
