system,replica,angle_bin_center,prob
M1-CN045,replica2,102.5,0.0
M1-CN045,replica2,107.5,0.0
M1-CN045,replica2,112.5,0.0
M1-CN045,replica2,117.5,0.0
M1-CN045,replica2,122.5,0.0
M1-CN045,replica2,127.5,0.0
M1-CN045,replica2,132.5,0.0
M1-CN045,replica2,137.5,0.0
M1-CN045,replica2,142.5,0.0
M1-CN045,replica2,147.5,0.0
M1-CN045,replica2,152.5,0.0007998400319936012
M1-CN045,replica2,157.5,0.003599280143971206
M1-CN045,replica2,162.5,0.00639872025594881
M1-CN045,replica2,167.5,0.006998600279944011
M1-CN045,replica2,172.5,0.013597280543891222
M1-CN045,replica2,177.5,0.03079384123175365
M1-CN045,replica3,-177.5,0.15556888622275544
M1-CN045,replica3,-172.5,0.1773645270945811
M1-CN045,replica3,-167.5,0.14357128574285144
M1-CN045,replica3,-162.5,0.10377924415116976
M1-CN045,replica3,-157.5,0.05078984203159368
M1-CN045,replica3,-152.5,0.03459308138372325
M1-CN045,replica3,-147.5,0.01899620075984803
M1-CN045,replica3,-142.5,0.013997200559888023
M1-CN045,replica3,-137.5,0.007398520295940812
M1-CN045,replica3,-132.5,0.003599280143971206
M1-CN045,replica3,-127.5,0.0023995200959808036
M1-CN045,replica3,-122.5,0.001799640071985603
M1-CN045,replica3,-117.5,0.0007998400319936012
M1-CN045,replica3,-112.5,0.0011997600479904018
M1-CN045,replica3,-107.5,0.0007998400319936012
M1-CN045,replica3,-102.5,0.0023995200959808036
M1-CN045,replica3,-97.5,0.004199160167966407
M1-CN045,replica3,-92.5,0.0027994401119776045
M1-CN045,replica3,-87.5,0.003599280143971206
M1-CN045,replica3,-82.5,0.002599480103979204
M1-CN045,replica3,-77.5,0.001799640071985603
M1-CN045,replica3,-72.5,0.0003999200159968006
M1-CN045,replica3,-67.5,0.0003999200159968006
M1-CN045,replica3,-62.5,0.0001999600079984003
M1-CN045,replica3,-57.5,0.0003999200159968006
M1-CN045,replica3,-52.5,0.0001999600079984003
M1-CN045,replica3,-47.5,0.0003999200159968006
M1-CN045,replica3,-42.5,0.0003999200159968006
M1-CN045,replica3,-37.5,0.0003999200159968006
M1-CN045,replica3,-32.5,0.0
M1-CN045,replica3,-27.5,0.0
M1-CN045,replica3,-22.5,0.0001999600079984003
M1-CN045,replica3,-17.5,0.0
M1-CN045,replica3,-12.5,0.0
M1-CN045,replica3,-7.5,0.0
M1-CN045,replica3,-2.5,0.0
M1-CN045,replica3,2.5,0.0
M1-CN045,replica3,7.5,0.0003999200159968006
M1-CN045,replica3,12.5,0.0
M1-CN045,replica3,17.5,0.0
M1-CN045,replica3,22.5,0.0003999200159968006
M1-CN045,replica3,27.5,0.0007998400319936012
M1-CN045,replica3,32.5,0.0015996800639872025
M1-CN045,replica3,37.5,0.002599480103979204
M1-CN045,replica3,42.5,0.003199360127974405
M1-CN045,replica3,47.5,0.003799240151969606
M1-CN045,replica3,52.5,0.004399120175964807
M1-CN045,replica3,57.5,0.006798640271945611
M1-CN045,replica3,62.5,0.004999000199960008
M1-CN045,replica3,67.5,0.008198360327934412
M1-CN045,replica3,72.5,0.0061987602479504095
M1-CN045,replica3,77.5,0.005598880223955209
M1-CN045,replica3,82.5,0.002999400119976005
M1-CN045,replica3,87.5,0.0005998800239952009
M1-CN045,replica3,92.5,0.0005998800239952009
M1-CN045,replica3,97.5,0.0001999600079984003
M1-CN045,replica3,102.5,0.0
M1-CN045,replica3,107.5,0.0
M1-CN045,replica3,112.5,0.0
M1-CN045,replica3,117.5,0.0
M1-CN045,replica3,122.5,0.0
M1-CN045,replica3,127.5,0.0
M1-CN045,replica3,132.5,0.0
M1-CN045,replica3,137.5,0.0
M1-CN045,replica3,142.5,0.0005998800239952009
M1-CN045,replica3,147.5,0.0015996800639872025
M1-CN045,replica3,152.5,0.0015996800639872025
M1-CN045,replica3,157.5,0.00639872025594881
M1-CN045,replica3,162.5,0.014597080583883223
M1-CN045,replica3,167.5,0.026994601079784044
M1-CN045,replica3,172.5,0.05818836232753449
M1-CN045,replica3,177.5,0.09958008398320337
M1-Clemastine,replica1,-177.5,0.0
M1-Clemastine,replica1,-172.5,0.0
M1-Clemastine,replica1,-167.5,0.0
M1-Clemastine,replica1,-162.5,0.0
M1-Clemastine,replica1,-157.5,0.0
M1-Clemastine,replica1,-152.5,0.0
M1-Clemastine,replica1,-147.5,0.0
M1-Clemastine,replica1,-142.5,0.0
M1-Clemastine,replica1,-137.5,0.0
M1-Clemastine,replica1,-132.5,0.0
M1-Clemastine,replica1,-127.5,0.0
M1-Clemastine,replica1,-122.5,0.0
M1-Clemastine,replica1,-117.5,0.0
M1-Clemastine,replica1,-112.5,0.0
M1-Clemastine,replica1,-107.5,0.0
M1-Clemastine,replica1,-102.5,0.0
M1-Clemastine,replica1,-97.5,0.0003999200159968006
M1-Clemastine,replica1,-92.5,0.0001999600079984003
M1-Clemastine,replica1,-87.5,0.0009998000399920016
M1-Clemastine,replica1,-82.5,0.003799240151969606
M1-Clemastine,replica1,-77.5,0.008198360327934412
M1-Clemastine,replica1,-72.5,0.027394521095780843
M1-Clemastine,replica1,-67.5,0.06638672265546891
M1-Clemastine,replica1,-62.5,0.13017396520695862
M1-Clemastine,replica1,-57.5,0.1871625674865027
M1-Clemastine,replica1,-52.5,0.1923615276944611
M1-Clemastine,replica1,-47.5,0.15036992601479704
M1-Clemastine,replica1,-42.5,0.10897820435912818
M1-Clemastine,replica1,-37.5,0.0609878024395121
M1-Clemastine,replica1,-32.5,0.02959408118376325
M1-Clemastine,replica1,-27.5,0.01259748050389922
M1-Clemastine,replica1,-22.5,0.0061987602479504095
M1-Clemastine,replica1,-17.5,0.0021995600879824036
M1-Clemastine,replica1,-12.5,0.0009998000399920016
M1-Clemastine,replica1,-7.5,0.0001999600079984003
M1-Clemastine,replica1,-2.5,0.0001999600079984003
M1-Clemastine,replica1,2.5,0.0001999600079984003
M1-Clemastine,replica1,7.5,0.0003999200159968006
M1-Clemastine,replica1,12.5,0.0005998800239952009
M1-Clemastine,replica1,17.5,0.0005998800239952009
M1-Clemastine,replica1,22.5,0.0011997600479904018
M1-Clemastine,replica1,27.5,0.0011997600479904018
M1-Clemastine,replica1,32.5,0.0011997600479904018
M1-Clemastine,replica1,37.5,0.0021995600879824036
M1-Clemastine,replica1,42.5,0.0003999200159968006
M1-Clemastine,replica1,47.5,0.0007998400319936012
M1-Clemastine,replica1,52.5,0.0001999600079984003
M1-Clemastine,replica1,57.5,0.0009998000399920016
M1-Clemastine,replica1,62.5,0.0
M1-Clemastine,replica1,67.5,0.0003999200159968006
M1-Clemastine,replica1,72.5,0.0001999600079984003
M1-Clemastine,replica1,77.5,0.0
M1-Clemastine,replica1,82.5,0.0
M1-Clemastine,replica1,87.5,0.0
M1-Clemastine,replica1,92.5,0.0
M1-Clemastine,replica1,97.5,0.0
M1-Clemastine,replica1,102.5,0.0
M1-Clemastine,replica1,107.5,0.0
M1-Clemastine,replica1,112.5,0.0
M1-Clemastine,replica1,117.5,0.0
M1-Clemastine,replica1,122.5,0.0
M1-Clemastine,replica1,127.5,0.0
M1-Clemastine,replica1,132.5,0.0
M1-Clemastine,replica1,137.5,0.0
M1-Clemastine,replica1,142.5,0.0
M1-Clemastine,replica1,147.5,0.0
M1-Clemastine,replica1,152.5,0.0
M1-Clemastine,replica1,157.5,0.0
M1-Clemastine,replica1,162.5,0.0
M1-Clemastine,replica1,167.5,0.0
M1-Clemastine,replica1,172.5,0.0
