system,angle_bin_center,mean_prob,std_prob,n_reps,sem_prob
M1-Clemastine,32.5,0.0003999200159968006,0.0006926817866702168,3,0.0003999200159968006
M1-Clemastine,37.5,0.0009998000399920016,0.0011133302065246995,3,0.000642781494433977
M1-Clemastine,42.5,0.0010664533759914684,0.0015140727443312067,3,0.0008741503065122976
M1-Clemastine,47.5,0.00433246683996534,0.006823101170824746,3,0.003939319297683718
M1-Clemastine,52.5,0.009531427047923749,0.0163360514209603,3,0.009431623685386997
M1-Clemastine,57.5,0.019129507431846965,0.0322712986566867,3,0.018631842966536877
M1-Clemastine,62.5,0.020395920815836834,0.03532677112018106,3,0.020395920815836834
M1-Clemastine,67.5,0.01899620075984803,0.03255665804730696,3,0.01879659528752727
M1-Clemastine,72.5,0.010597880423915218,0.018009726453425638,3,0.010397920415916816
M1-Clemastine,77.5,0.004799040191961607,0.008139625049809087,3,0.004699414713609898
M1-Clemastine,82.5,0.0015996800639872027,0.0024326184884216036,3,0.0014044729391258733
M1-Clemastine,87.5,0.00013330667199893355,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,92.5,6.665333599946678e-05,0.00011544696444503613,3,6.665333599946676e-05
M1-Clemastine,97.5,0.0,0.0,3,0.0
M1-Clemastine,102.5,0.0,0.0,3,0.0
M1-Clemastine,107.5,0.0,0.0,3,0.0
M1-Clemastine,112.5,0.0,0.0,3,0.0
M1-Clemastine,117.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,122.5,0.0,0.0,3,0.0
M1-Clemastine,127.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,132.5,0.0,0.0,3,0.0
M1-Clemastine,137.5,6.665333599946678e-05,0.00011544696444503614,3,6.665333599946678e-05
M1-Clemastine,142.5,0.0001999600079984003,0.0003463408933351084,3,0.0001999600079984003
M1-Clemastine,147.5,0.00033326667999733386,0.0004162499499032459,3,0.00024032202062680726
M1-Clemastine,152.5,0.0005332266879957342,0.0007570363721656035,3,0.0004370751532561489
M1-Clemastine,157.5,0.001799640071985603,0.0016367432057333433,3,0.0009449741304244369
M1-Clemastine,162.5,0.005798840231953609,0.0050308920717492996,3,0.0029045868918884123
M1-Clemastine,167.5,0.01366393387989069,0.012232476198971777,3,0.007062423426332046
M1-Clemastine,172.5,0.036392721455708855,0.03325113081827766,3,0.019197549328792068
M1-Clemastine,177.5,0.05618876224755048,0.050190758654694356,3,0.028977648020119328
