1	0
2	1.016
3	1.026
4	1.265
5	1.207
6	1.168
7	1.123
8	1.174
9	1.263
10	1.16
11	1.077
12	1.12
13	1.021
14	1.064
15	1.171
16	1.068
17	1.135
18	1.288
19	1.24
20	1.196
21	1.288
22	1.092
23	1.271
24	1.273
25	1.049
26	1.26
27	1.218
28	1.137
29	1.12
30	1.172
31	1.339
32	1.269
33	1.251
34	1.332
35	1.26
36	1.332
37	1.282
38	1.363
39	1.354
40	1.499
41	1.543
42	1.505
43	1.313
44	1.467
45	1.361
46	1.506
47	1.349
48	1.485
49	1.497
50	1.479
51	1.433
52	1.473
53	1.402
54	1.499
55	1.422
56	1.521
57	1.533
58	1.415
59	1.388
60	1.338
61	1.456
62	1.655
63	1.567
64	1.541
65	1.453
66	1.435
67	1.478
68	1.694
69	1.524
70	1.493
71	1.681
72	1.494
73	1.626
74	1.533
75	1.504
76	1.67
77	1.594
78	1.603
79	1.482
80	1.695
81	1.554
82	1.715
83	1.754
84	1.733
85	1.714
86	1.757
87	1.649
88	1.678
89	1.861
90	1.793
91	1.734
92	1.634
93	1.607
94	1.751
95	1.723
96	1.718
97	1.459
98	1.589
99	1.583
100	1.633
101	1.672
102	1.705
103	1.607
104	1.415
105	1.697
106	1.692
107	1.651
108	1.492
109	1.57
110	1.541
111	1.673
112	1.539
113	1.623
114	1.788
115	1.551
116	1.476
117	1.819
118	1.515
119	1.633
120	1.493
121	1.411
122	1.485
123	1.586
124	1.581
125	1.545
126	1.551
127	1.534
128	1.571
129	1.558
130	1.564
131	1.71
132	1.713
133	1.772
134	1.621
135	1.632
136	1.659
137	1.652
138	1.691
139	1.692
140	1.727
141	1.841
142	1.635
143	1.761
144	1.691
145	1.869
146	1.735
147	1.617
148	1.686
149	1.708
150	1.681
151	1.508
152	1.509
153	1.421
154	1.447
155	1.5
156	1.539
157	1.4
158	1.366
159	1.463
160	1.491
161	1.46
162	1.529
163	1.521
164	1.57
165	1.697
166	1.625
167	1.528
168	1.622
169	1.657
170	1.47
171	1.528
172	1.529
173	1.729
174	1.552
175	1.599
176	1.501
177	1.413
178	1.59
179	1.663
180	1.784
181	1.554
182	1.444
183	1.457
184	1.495
185	1.491
186	1.396
187	1.558
188	1.472
189	1.371
190	1.477
191	1.49
192	1.496
193	1.576
194	1.574
195	1.612
196	1.653
197	1.631
198	1.585
199	1.681
200	1.741
201	1.653
202	1.633
203	1.747
204	1.624
205	1.7
206	1.774
207	1.566
208	1.557
209	1.538
210	1.423
211	1.455
212	1.559
213	1.506
214	1.636
215	1.865
216	1.624
217	1.491
218	1.561
219	1.737
220	1.525
221	1.415
222	1.663
223	1.64
224	1.395
225	1.327
226	1.619
227	1.645
228	1.51
229	1.575
230	1.587
231	1.477
232	1.417
233	1.392
234	1.449
235	1.478
236	1.633
237	1.661
238	1.441
239	1.492
240	1.91
241	1.875
242	1.592
243	1.564
244	1.676
245	1.745
246	1.613
247	1.493
248	1.61
249	1.476
250	1.4
251	1.515
252	1.441
253	1.495
254	1.48
255	1.663
256	1.644
257	1.503
258	1.544
259	1.534
260	1.543
261	1.61
262	1.675
263	1.521
264	1.424
265	1.685
266	1.678
267	1.553
268	1.682
269	1.725
270	1.649
271	1.619
272	1.713
273	1.605
274	1.631
275	1.516
276	1.388
277	1.483
278	1.835
279	1.735
280	1.454
281	1.506
282	1.519
283	1.531
284	1.542
285	1.652
286	1.532
287	1.557
288	1.378
289	1.375
290	1.338
291	1.49
292	1.495
293	1.443
294	1.468
295	1.412
296	1.444
297	1.59
298	1.419
299	1.257
300	1.312
301	1.548
302	1.566
303	1.682
304	1.452
305	1.591
306	1.283
307	1.371
308	1.535
309	1.594
310	1.686
311	1.916
312	1.781
313	1.888
314	1.886
315	1.895
316	1.742
317	1.699
318	1.721
319	1.845
320	1.848
321	1.816
322	1.801
323	1.767
324	1.794
325	1.78
326	1.648
327	1.821
328	1.917
329	2.057
330	2.021
331	2.052
332	1.882
333	1.986
334	1.805
335	1.863
336	1.689
337	1.769
338	1.582
339	1.668
340	1.69
341	1.751
342	1.547
343	1.724
344	1.853
345	1.853
346	2.268
347	2.189
348	2.106
349	2.07
350	1.982
351	2.162
352	1.921
353	1.707
354	1.887
355	1.862
356	1.925
357	1.867
358	1.512
359	1.835
360	1.494
361	1.977
362	1.684
363	1.671
364	1.705
365	1.694
366	1.598
367	1.55
368	1.589
369	1.646
370	1.777
371	1.791
372	1.816
373	1.857
374	2.008
375	2.212
376	1.849
377	1.935
378	1.704
379	1.819
380	1.797
381	1.782
382	1.854
383	1.79
384	1.812
385	1.877
386	1.606
387	1.603
388	1.513
389	1.767
390	2.163
391	1.799
392	1.788
393	2.037
394	1.809
395	1.753
396	1.522
397	1.607
398	1.779
399	1.862
400	1.893
401	2.167
402	1.924
403	1.873
404	1.896
405	2.037
406	1.703
407	1.983
408	2.047
409	1.999
410	1.877
411	1.758
412	1.889
413	1.929
414	2.018
415	1.924
416	2.041
417	1.977
418	1.688
419	2.046
420	1.787
421	1.963
422	1.802
423	2.098
424	2.019
425	1.95
426	1.917
427	1.774
428	1.866
429	1.849
430	2.003
431	1.941
432	1.996
433	1.743
434	1.666
435	1.782
436	1.865
437	1.761
438	1.893
439	1.677
440	1.697
441	1.684
442	1.79
443	1.794
444	1.638
445	1.653
446	1.525
447	1.585
448	1.651
449	1.625
450	1.795
451	1.942
452	1.904
453	1.862
454	1.9
455	1.729
456	1.854
457	1.598
458	1.746
459	1.718
460	1.731
461	1.796
462	1.592
463	1.633
464	1.727
465	1.531
466	1.589
467	1.557
468	1.889
469	1.622
470	1.795
471	1.77
472	1.68
473	1.709
474	1.874
475	1.751
476	1.799
477	1.919
478	1.702
479	1.847
480	1.97
481	1.771
482	1.739
483	1.732
484	1.98
485	1.928
486	2.057
487	1.869
488	2.09
